path,page_type,group,sources,gsc_status,gsc_last_crawled,has_rankmath_redirect,rankmath_type,rankmath_dest,is_thirstyaffiliate,ta_name,ta_dest_url,exists_on_new_site,new_site_path,notes,redirect_status
/best-lightweight-electric-scooters/1000,post,Guides / Listicles,gsc:redirect,redirect,2026-02-14,,,,,,,no,,Has /1000 suffix (Oxygen Builder artifact); Base path /best-lightweight-electric-scooters exists on new site,no-redirect-needed
/best-off-road-electric-,post,Guides / Listicles,gsc:404,404,2025-11-25,,,,,,,no,,,ignored-fragment
/best-off-road-electric-skateboards,post,Guides / Listicles,"gsc:redirect, rankmath-redirect-source",redirect,2026-02-04,yes,301,http://eridehero.com/best-electric-skateboards/,,,,no,,,mapped
/best-off-road-hoverboards,post,Guides / Listicles,"gsc:redirect, rankmath-redirect-source",redirect,2026-02-16,yes,301,http://eridehero.com/best-hoverboards/,,,,no,,,mapped
/can-you-ride-an-electric-scooter-in-the-rain,post,Guides / Listicles,"gsc:indexed, sitemap",indexed,2026-02-07,,,,,,,yes,/can-you-ride-an-electric-scooter-in-the-rain,,no-redirect-needed
/fastest-electric-scooters,post,Guides / Listicles,"gsc:indexed, sitemap",indexed,2026-02-16,,,,,,,yes,/fastest-electric-scooters,,no-redirect-needed
/fastest-electric-scooters/1000,post,Guides / Listicles,gsc:redirect,redirect,2026-02-16,,,,,,,no,,Has /1000 suffix (Oxygen Builder artifact); Base path /fastest-electric-scooters exists on new site,no-redirect-needed
/fastest-electric-scooters/embed,post,Guides / Listicles,gsc:noindex,noindex,2026-02-03,,,,,,,no,,,ignored-fragment
/fastest-hoverboards,post,Guides / Listicles,"gsc:indexed, sitemap",indexed,2026-02-14,,,,,,,yes,/fastest-hoverboards,,no-redirect-needed
/fastest-hoverboards/1000,post,Guides / Listicles,gsc:redirect,redirect,2026-02-15,,,,,,,no,,Has /1000 suffix (Oxygen Builder artifact); Base path /fastest-hoverboards exists on new site,no-redirect-needed
/how-does-a-hoverboard-work,post,Guides / Listicles,"gsc:indexed, sitemap",indexed,2026-02-14,,,,,,,yes,/how-does-a-hoverboard-work,,no-redirect-needed
/how-does-a-hoverboard-work/1000,post,Guides / Listicles,gsc:redirect,redirect,2026-02-14,,,,,,,no,,Has /1000 suffix (Oxygen Builder artifact); Base path /how-does-a-hoverboard-work exists on new site,no-redirect-needed
/how-far-can-hoverboards-go,post,Guides / Listicles,"gsc:indexed, sitemap",indexed,2026-02-09,,,,,,,yes,/how-far-can-hoverboards-go,,no-redirect-needed
/how-far-can-hoverboards-go/1000,post,Guides / Listicles,gsc:redirect,redirect,2026-02-09,,,,,,,no,,Has /1000 suffix (Oxygen Builder artifact); Base path /how-far-can-hoverboards-go exists on new site,no-redirect-needed
/how-much-do-hoverboards-weigh,post,Guides / Listicles,"gsc:indexed, sitemap",indexed,2026-02-05,,,,,,,yes,/how-much-do-hoverboards-weigh,,no-redirect-needed
/how-much-do-hoverboards-weigh/embed,post,Guides / Listicles,gsc:noindex,noindex,2026-01-27,,,,,,,no,,,ignored-fragment
