id,source,matching,destination,type,category,status,ignore
"167","best-electric-scooters-with-seats","exact","http://eridehero.com/best-electric-scooters/","301","","active",""
"168","best-hoverboard-chargers/","exact","http://eridehero.com/hoverboard-replacement-charger-safety/","301","","active",""
"170","apollo-go-review-dual-motor-power-that-you-can-actually-carry/","exact","http://eridehero.com/apollo-go-review/","301","","active",""
"171","scooter-finder","exact","http://eridehero.com/tool/electric-scooter-finder/","301","","active",""
"171","scooter-tool","exact","http://eridehero.com/tool/electric-scooter-finder/","301","","active",""
"171","scootertool","exact","http://eridehero.com/tool/electric-scooter-finder/","301","","active",""
"171","scooterfinder","exact","http://eridehero.com/tool/electric-scooter-finder/","301","","active",""
"171","escooter-finder","exact","http://eridehero.com/tool/electric-scooter-finder/","301","","active",""
"171","scooters","exact","http://eridehero.com/tool/electric-scooter-finder/","301","","active",""
"172","products/kaabo-wolf-king-gt-pro/","exact","http://eridehero.com/products/kaabo-king-gt-pro/","301","","active",""
"173","products/kaabo-wolf-king-gtr/","exact","http://eridehero.com/products/kaabo-king-gtr/","301","","active",""
"174","products/urban/","exact","http://eridehero.com/products/kaabo-urban/","301","","active",""
"175","products/vx8/","exact","http://eridehero.com/products/vmax-vx8/","301","","active",""
"176","products/16927/","exact","http://eridehero.com/products/navee-gt3-max/","301","","active",""
"177","navee-st3-pro-review-the-most-complete-commuter-scooter/","exact","http://eridehero.com/navee-st3-pro-review/","301","","active",""
"178","niu-kqi-200f-review-a-reliable-mixed-mode-commuter/","exact","http://eridehero.com/niu-kqi-200f-review/","301","","active",""
